ID,N_VICTIMAS,FECHA,HORA,HH,TIPO_DE_CALLE,Calle,LUGAR_DEL_HECHO_NORMALIZADO,COMUNA,longitud,Latitud,VICTIMA,ACUSADO,SEXO,EDAD,ROL_VICTIMA
20160001,1,2016-01-01,04:00:00,4,AVENIDA,PIEDRA BUENA AV.,AV PIEDRA BUENA & AV FERNANDEZ DE LA CRUZ,8,-58.47533969,-34.68757022,MOTO,AUTO,MASCULINO,19,CONDUCTOR
20160002,1,2016-01-02,01:15:00,1,GRAL PAZ,"PAZ, GRAL. AV.",AV GRAL PAZ  & AV DE LOS CORRALES,9,-58.50877521,-34.66977709,AUTO,PASAJEROS,MASCULINO,70,CONDUCTOR
20160003,1,2016-01-03,07:00:00,7,AVENIDA,ENTRE RIOS AV.,AV ENTRE RIOS 2034,1,-58.39040293,-34.63189362,MOTO,AUTO,MASCULINO,30,CONDUCTOR
20160004,1,2016-01-10,00:00:00,0,AVENIDA,LARRAZABAL AV.,AV LARRAZABAL & GRAL VILLEGAS CONRADO,8,-58.46503904,-34.68092974,MOTO,DESCONOCIDO,DESCONOCIDO,42,DESCONOCIDO
20160005,1,2016-01-21,05:20:00,5,AVENIDA,SAN JUAN AV.,AV SAN JUAN & PRESIDENTE LUIS SAENZ PEÑA,1,-58.38718297,-34.6224663,MOTO,PASAJEROS,MASCULINO,29,CONDUCTOR
20160008,1,2016-01-24,18:30:00,18,AVENIDA,27 DE FEBRERO AV.,AV 27 DE FEBRERO & AV ESCALADA,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,MASCULINO,30,CONDUCTOR
20160009,1,2016-01-24,19:10:00,19,CALLE,NOGOYA,NOGOYA & JOAQUIN V. GONZALES,11,-58.50095869,-34.6082544,MOTO,AUTO,MASCULINO,29,PASAJERO
20160010,1,2016-01-29,15:20:00,15,GRAL PAZ,"PAZ, GRAL. AV.",AV GENERAL PAZ & AV DE LOS CORRALES,9,-58.50877521,-34.66977709,MOTO,AUTO,MASCULINO,18,CONDUCTOR
20160012,1,2016-02-08,01:20:00,1,AVENIDA,BELGRANO AV.,AV BELGRANO & BERNARDO DE IRIGOYEN,1,-58.38048577,-34.61303893,MOTO,CARGAS,MASCULINO,22,CONDUCTOR
20160013,1,2016-02-10,11:30:00,11,AVENIDA,ENTRE RIOS AV.,AV ENTRE RIOS 1366,1,-58.39114932,-34.62477387,PEATON,AUTO,MASCULINO,16,PEATON
20160015,1,2016-02-14,05:14:00,5,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",AV SCALABRINI ORTIZ & VERA,15,-58.4376002,-34.59912758,PEATON,AUTO,FEMENINO,16,PEATON
20160016,1,2016-02-14,22:00:00,22,AVENIDA,REGIMIENTO DE PATRICIOS AV.,AV REGIMIENTO DE PATRICIOS & QUINQUELA MARTIN BENITO,4,-58.36882665,-34.64291993,MOTO,AUTO,FEMENINO,19,PASAJERO
20160017,1,2016-02-15,16:54:00,16,AVENIDA,"ACOSTA, MARIANO",MARIANO ACOSTA & ANA MARIA JANER,8,-58.44989671,-34.65970435,PEATON,MOTO,MASCULINO,59,PEATON
20160019,1,2016-02-17,09:30:00,9,CALLE,"DE LA TORRE, LISANDRO",LISANDRO DE LA TORRE & SEVERO GARCIA GRANDE DE ZEQUEIRA,9,-58.50990884,-34.65468721,PEATON,PASAJEROS,FEMENINO,65,PEATON
20160020,1,2016-02-17,16:00:00,16,CALLE,SUIPACHA,SUIPACHA 156,1,-58.37952223,-34.60653282,PEATON,AUTO,MASCULINO,59,PEATON
20160021,1,2016-02-17,23:35:00,23,AVENIDA,DIRECTORIO AV.,AV DIRECTORIO & CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO,AUTO,MASCULINO,34,CONDUCTOR
20160022,1,2016-02-21,06:00:00,6,AVENIDA,9 DE JULIO AV.,AV 9 DE JULIO & ADOLFO ALSINA,1,-58.38144696,-34.61079875,MOTO,AUTO,DESCONOCIDO,42,DESCONOCIDO
20160025,1,2016-02-28,04:50:00,4,GRAL PAZ,"PAZ, GRAL. AV.",AV GRAL PAZ & AV 27 DE FEBRERO,8,-58.46244952,-34.70524971,AUTO,AUTO,MASCULINO,34,PASAJERO
20160026,1,2016-02-28,07:30:00,7,CALLE,HOLMBERG,HOLMBERG & VEDIA,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,MASCULINO,30,CONDUCTOR
20160027,1,2016-02-28,09:35:00,9,AVENIDA,CURAPALIGUE AV.,CURAPALIGUE & AVELINO DIAZ,7,-58.44497874,-34.63852623,AUTO,AUTO,DESCONOCIDO,42,DESCONOCIDO
20160028,1,2016-03-02,10:00:00,10,AVENIDA,VIAMONTE,VIAMONTE & AV 9 DE JULIO,1,-58.38199706,-34.60028648,PEATON,CARGAS,MASCULINO,50,PEATON
20160029,1,2016-03-04,17:30:00,17,AVENIDA,CABILDO AV.,AV CABILDO & DEHEZA,12,-58.47378664,-34.54153077,PEATON,PASAJEROS,MASCULINO,38,PEATON
20160031,1,2016-03-08,12:30:00,12,GRAL PAZ,"PAZ, GRAL. AV.",AV GRAL PAZ & AV CNEL ROCA,8,-58.47064556,-34.69843756,MOTO,PASAJEROS,DESCONOCIDO,42,DESCONOCIDO
20160034,1,2016-03-12,12:30:00,12,AVENIDA,"ALCORTA, AMANCIO AV.",AV AMANCIO ALCORTA & BONAVENA,4,-58.40623949,-34.65076549,PEATON,PASAJEROS,MASCULINO,52,PEATON
20160035,1,2016-03-13,06:00:00,6,AVENIDA,CORRIENTES AV.,AV CORRIENTES & AV CALLAO,3,-58.39228965,-34.60443527,MOTO,PASAJEROS,MASCULINO,34,CONDUCTOR
20160036,1,2016-03-14,00:15:00,0,CALLE,HERRERA,HERRERA & ARISTOBULO DEL VALLE,4,-58.37813396,-34.63668504,MOTO,PASAJEROS,MASCULINO,36,PASAJERO
20160037,1,2016-03-19,11:00:00,11,AVENIDA,LAFUENTE AV.,AV. EVA PERON & QUIRNO,7,-58.46275892,-34.64358293,MOTO,MOTO,MASCULINO,20,CONDUCTOR
20160038,1,2016-03-21,08:06:00,8,GRAL PAZ,"PAZ, GRAL. AV.",AV GRAL PAZ COLECTORA & ZUVIRIA,8,-58.49683458,-34.67892743,PEATON,PASAJEROS,MASCULINO,29,PEATON
20160039,1,2016-03-23,01:50:00,1,AVENIDA,"MITRE, BARTOLOME",BARTOLOME MITRE & AV PUEYRREDON,3,-58.40603217,-34.6088396,MOTO,PASAJEROS,MASCULINO,20,CONDUCTOR
20160041,2,2016-03-29,11:00:00,11,AVENIDA,DIRECTORIO AV.,AV DIRECTORIO & RIVERA INDARTE,7,-58.4607655,-34.63350444,MOTO,CARGAS,MASCULINO,54,CONDUCTOR
20160043,1,2016-03-30,18:15:00,18,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",DELLEPIANE LUIS TTE GRAL COLECTORA & MURGUIONDO,8,-58.47832463,-34.67494416,PEATON,CARGAS,FEMENINO,56,PEATON
20160044,1,2016-03-31,19:40:00,19,AVENIDA,"MORENO, JOSE MARIA AV.",AV JOSE MARIA MORENO & BALBASTRO,7,-58.43213235,-34.63693953,MOTO,MULTIPLE,MASCULINO,24,CONDUCTOR
