id,n_victimas,fecha,hora,franja_hora,comuna,tipo_calle,direc_normalizada,longitud,latitud,victima,acusado,gravedad
20190000179,1,2019-01-01,09:00:00,9,14,AVENIDA,"obligado rafael, av.costanera 3300, barrio: palermo  , jurisin datosicción comisaria:  vecinal 14c",-58.408911,-34.559658,CICLISTA,desconocido,Sin Gravedad
20190000053,1,2019-01-01,01:55:00,1,8,AVENIDA,"autopista presidente héctor j. cámpora y roca, cnel. av. 0, barrio: villa soldati  , jurisin datosicción comisaria:  vecinal 8b",-58.44351,-34.669125,AUTO,desconocido,Sin Gravedad
20190000063,1,2019-01-01,02:00:00,2,8,CALLE,"barros pazos, jose y larraya 0, barrio: villa lugano  , jurisin datosicción comisaria:  vecinal 8a",-58.468335,-34.677556,desconocido,desconocido,Sin Gravedad
20190000079,1,2019-01-01,02:30:00,2,7,AVENIDA,"torres y tenorio, pres. y riestra av. 0, barrio: parque chacabuco interior pasaje roldan, altura edificio 25 barrio rivadavia 1 , jurisin datosicción comisaria:  vecinal 7b",-58.437425,-34.647349,PEATON,desconocido,Sin Gravedad
20190000082,4,2019-01-01,04:30:00,4,3,AVENIDA,"corrientes av. y uriburu jose e., pres. 0, barrio: balvanera  , jurisin datosicción comisaria:  vecinal 3a",-58.398225,-34.604579,AUTO,desconocido,Sin Gravedad
20190000136,2,2019-01-01,08:05:00,8,15,AVENIDA,"cordoba av. y humboldt 0, barrio: chacarita  , jurisin datosicción comisaria:  vecinal 15a",-58.439392,-34.588108,MOTO,desconocido,Sin Gravedad
20190000142,1,2019-01-01,07:30:00,7,11,AVENIDA,"san martin av. y paz, gral. av. 0, barrio: villa devoto  , jurisin datosicción comisaria:  vecinal 11b",-58.519116,-34.589282,MOTO,desconocido,Sin Gravedad
20190000194,1,2019-01-01,07:15:00,7,9,AVENIDA,"paz, gral. av. y chavez, jorge 0, barrio: liniers  , jurisin datosicción comisaria:  vecinal 9b",-58.528413,-34.650156,AUTO,desconocido,Sin Gravedad
20190000202,1,2019-01-01,09:36:00,9,1,AVENIDA,"cordoba av. y alem, leandro n. av. 0, barrio: retiro  , jurisin datosicción comisaria:  vecinal 1a",-58.371488,-34.598416,MOTO,desconocido,Sin Gravedad
20190000329,1,2019-01-01,12:24:00,12,4,CALLE,"iguazu 946, barrio: nueva pompeya  , jurisin datosicción comisaria:  vecinal 4b",-58.404748,-34.648387,AUTO,desconocido,Sin Gravedad
